Mes,Victimas
Enero,117
Febrero,139
Marzo,118
Abril,104
Mayo,150
Junio,129
Julio,164
Agosto,155
Septiembre,160
Octubre,191
Noviembre,154
Diciembre,154
Enero,145
Febrero,139
Marzo,166
Abril,167
Mayo,173
Junio,189
Julio,199
Agosto,215
Septiembre,210
Octubre,190
Noviembre,192
Diciembre,205
Enero,149
Febrero,163
Marzo,194
Abril,216
Mayo,208
Junio,247
Julio,221
Agosto,243
Septiembre,216
Octubre,218
Noviembre,235
Diciembre,225
Enero,212
Febrero,197
Marzo,235
Abril,217
Mayo,251
Junio,239
Julio,222
Agosto,250
Septiembre,259
Octubre,218
Noviembre,218
Diciembre,259
Enero,227
Febrero,201
Marzo,219
Abril,233
Mayo,246
Junio,235
Julio,238
Agosto,250
Septiembre,258
