Mes,Victimas
Enero,3876
Febrero,3979
Marzo,4545
Abril,4951
Mayo,5337
Junio,5035
Julio,4735
Agosto,4900
Septiembre,5024
Octubre,5206
Noviembre,4538
Diciembre,4296
Enero,3667
Febrero,4078
Marzo,4343
Abril,4677
Mayo,5074
Junio,4711
Julio,3788
Agosto,3855
Septiembre,4551
Octubre,4568
Noviembre,4056
Diciembre,3988
Enero,4475
Febrero,4163
Marzo,5122
Abril,5650
Mayo,6065
Junio,6809
Julio,4972
Agosto,6380
Septiembre,5252
Octubre,6660
Noviembre,6041
Diciembre,4208
Enero,4025
Febrero,4463
Marzo,5336
Abril,5319
Mayo,5903
Junio,5791
Julio,5542
Agosto,5346
Septiembre,5328
Octubre,5555
Noviembre,4645
Diciembre,4646
Enero,4736
Febrero,4785
Marzo,5871
Abril,5636
Mayo,7351
Junio,6115
Julio,5519
Agosto,5508
Septiembre,5402
